Nome_prod	Quant_Falha_fabri
HL_Road_Frame_-_Red,_44	1
HL_Road_Frame_-_Red,_52	1
HL_Road_Frame_-_Black,_52	1
HL_Road_Frame_-_Black,_44	1
HL_Mountain_Frame_-_Silver,_44	1
HL_Mountain_Frame_-_Black,_44	1
LL_Mountain_Frame_-_Silver,_40	1
LL_Mountain_Frame_-_Black,_42	1
LL_Mountain_Frame_-_Black,_44	1
LL_Mountain_Frame_-_Black,_48	1
HL_Road_Frame_-_Red,_58	1
HL_Touring_Frame_-_Yellow,_60	1
HL_Touring_Frame_-_Yellow,_50	1
HL_Touring_Frame_-_Blue,_54	1
Touring-1000_Blue,_50	1
Touring-3000_Blue,_58	1
Touring-3000_Yellow,_50	1
Road-250_Red,_48	1
Road-250_Red,_52	1
Road-650_Black,_48	1
Road-550-W_Yellow,_42	1
Road-450_Red,_52	1
Road-650_Red,_52	1
Road-650_Red,_58	1
Road-750_Black,_58	1
Mountain-300_Black,_44	1
Mountain-300_Black,_48	1
Road-250_Black,_58	1
Road-250_Black,_48	1
Road-150_Red,_56	1
Road-150_Red,_62	0
Road-250_Black,_52	0
Mountain-300_Black,_38	0
Road-150_Red,_44	0
Road-150_Red,_48	0
Road-150_Red,_52	0
Mountain-400-W_Silver,_38	0
Mountain-400-W_Silver,_40	0
Mountain-400-W_Silver,_42	0
Mountain-400-W_Silver,_46	0
Mountain-500_Black,_40	0
Mountain-500_Black,_42	0
Mountain-500_Black,_44	0
Mountain-500_Black,_48	0
Mountain-500_Black,_52	0
Mountain-500_Silver,_40	0
Mountain-500_Silver,_42	0
Mountain-500_Silver,_44	0
Mountain-500_Silver,_48	0
Mountain-500_Silver,_52	0
Road-750_Black,_44	0
Road-450_Red,_58	0
Road-450_Red,_60	0
Road-550-W_Yellow,_44	0
Road-650_Black,_44	0
Road-250_Red,_58	0
Road-350-W_Yellow,_40	0
Road-450_Red,_48	0
Road-350-W_Yellow,_44	0
Road-350-W_Yellow,_48	0
Touring-3000_Yellow,_54	0
Touring-3000_Yellow,_58	0
Touring-3000_Yellow,_62	0
Touring-3000_Blue,_62	0
Touring-3000_Yellow,_44	0
Touring-1000_Blue,_54	0
Touring-2000_Blue,_46	0
Touring-2000_Blue,_50	0
Touring-3000_Blue,_54	0
Touring-2000_Blue,_60	0
Touring-3000_Blue,_44	0
Touring-1000_Yellow,_50	0
Touring-1000_Yellow,_54	0
Touring-1000_Blue,_46	0
HL_Touring_Handlebars	0
HL_Road_Frame_-_Red,_62	0
HL_Road_Seat_Assembly	0
LL_Mountain_Frame_-_Black,_52	0
LL_Mountain_Frame_-_Black,_40	0
LL_Mountain_Frame_-_Silver,_44	0
LL_Mountain_Frame_-_Silver,_48	0
LL_Mountain_Frame_-_Silver,_52	0
HL_Mountain_Frame_-_Black,_48	0
HL_Mountain_Frame_-_Silver,_48	0
HL_Mountain_Rear_Wheel	0
HL_Road_Frame_-_Red,_56	0
HL_Road_Frame_-_Red,_48	0
ML_Road_Frame_-_Red,_44	0
ML_Road_Frame_-_Red,_48	0
ML_Mountain_Frame-W_-_Silver,_46	0
ML_Mountain_Frame-W_-_Silver,_38	0
ML_Road_Frame_-_Red,_60	0
ML_Touring_Seat_Assembly	0
Mountain-100_Silver,_48	0
LL_Touring_Frame_-_Yellow,_54	0
LL_Touring_Frame_-_Yellow,_58	0
LL_Touring_Frame_-_Blue,_50	0
LL_Touring_Frame_-_Blue,_58	0
LL_Touring_Frame_-_Blue,_62	0
ML_Mountain_Frame_-_Black,_38	0
LL_Road_Frame_-_Black,_62	0
